id,lat_wc,lon_wc,display_name_wc,zone_wc,lines_wc,rail_wc,name_wc,lon_tfl,lat_tfl,name_tfl,name,x_do,y_do,lat,lon,zone_do
98,51.5765,0.0663,Gants<br />Hill,4,1,0,Gants Hill,0.066115533982912,51.5764875480316,Gants Hill Station,Gants Hill,543266,188432,51.576552943422,0.066098526398209,4
99,51.4945,-0.1829,Gloucester<br />Road,1,3,0,Gloucester Road,-0.182989526482897,51.4942397839165,Gloucester Road Station,Gloucester Road,526196,178848,51.494499579725,-0.18352915689619,1
100,51.5724,-0.1941,Golders<br />Green,3,1,0,Golders Green,-0.193993261252232,51.5722213932328,Golders Green Station,Golders Green,525199,187471,51.572215556655,-0.19482013198437,3
101,51.5018,-0.2267,Goldhawk<br />Road,2,1,0,Goldhawk Road,-0.226748329203583,51.5019521973013,Goldhawk Road Station,Goldhawk Road,523131,179616,51.502076993967,-0.22738960127533,2
102,51.5205,-0.1347,Goodge<br />Street,1,1,0,Goodge Street,-0.134662152092394,51.5204249960455,Goodge Street Station,Goodge Street,529505,181837,51.520613125487,-0.13479327927061,1
321,,,,,,,,,,,Gospel Oak,528263,185677,51.555405311264,-0.15128661069808,2
103,51.6132,0.0923,Grange<br />Hill,5,1,0,Grange Hill,0.092146407242702,51.6133498578015,Grange Hill Station,Grange Hill,544963,192590,51.613480413753,0.092286969949084,4
104,51.5238,-0.1439,Great<br />Portland<br />Street,1,3,0,Great Portland Street,-0.143956086447369,51.5237203146289,Great Portland Street Station,Great Portland Street,528861,182174,51.52378881305,-0.14394701338886,1
107,51.5067,-0.1428,Green<br />Park,1,3,0,Green Park,-0.142927422207874,51.5068501085023,Green Park Station,Green Park,529012,180283,51.506760501463,-0.14246316907526,1
105,51.5423,-0.3456,NULL,4,1,1,Greenford,-0.34644414656746,51.5423020267591,Greenford Station,Greenford,514808,183861,51.541980112836,-0.34586432267848,4
